Product name,Company,Weight,link
 1300-1400 Series Tub/Shower Faucet Replacement Valve Cartridge ,DELTA,.35 lb.,https://www.winsupplyinc.com/delta/_/A-06933174
 Faucet Seats and Springs ,DELTA,.025 lb.,https://www.winsupplyinc.com/delta/_/A-06932921
 Faucet Springs ,DELTA,.003 lb.,https://www.winsupplyinc.com/delta/_/A-06932924
" Eva 4 in. 2-Handle High-Arc Bathroom Faucet, Brushed Nickel ",MOEN,5.66 LB,https://www.winsupplyinc.com/moen/_/A-01146320
" Chateau 2-Handle Lavatory Faucet, Chrome ",MOEN,3.56 LB,https://www.winsupplyinc.com/moen/_/A-01146344
" Woodhurst  2-Handle  Centerset Bathroom Faucet, Stainless Steel ",DELTA,4.2 lb.,https://www.winsupplyinc.com/delta/_/A-06826033
" Service Sink/Mop Sink Faucet, Chrome ",T&S,7.25 LB,https://www.winsupplyinc.com/t-s/_/A-01206102
" Brantford 4 in. 2-Handle Low Arc Bathroom Faucet, Brushed Nickel ",MOEN,5.9 LB,https://www.winsupplyinc.com/moen/_/A-01281021
" Chateau Mini Blade 2-Handle Laundry Faucet, Chrome ",MOEN,2.3 LB,https://www.winsupplyinc.com/moen/_/A-01146501
" Reliant-3 4 in. 1-Handle Low Arc Centerset Bathroom Faucet, Polished Chrome ",AMERICAN STANDARD,3.31 LB,https://www.winsupplyinc.com/american-standard/_/A-01267718
" Chateau 1-Handle Lavatory Faucet, 50/50 Waste Assembly, Chrome ",MOEN,3.44 LB,https://www.winsupplyinc.com/moen/_/A-01144573
" Classic 1-Handle Centerset Lavatory Faucet with Metal Drain Assembly, Chrome ",DELTA,3.15 LB,https://www.winsupplyinc.com/delta/_/A-04004289
" Foundations 2-Handle Centerset Bathroom Faucet, Chrome ",DELTA,3.42 LB,https://www.winsupplyinc.com/delta/_/A-04146252
" 2-Handle High Arch Bathroom Faucet, Chrome ",MOEN,5.6 LB,https://www.winsupplyinc.com/moen/_/A-01281024
" Wall-Mount 8 in. Utility Faucet, Rough Chrome ",AMERICAN STANDARD,6.77 LB,https://www.winsupplyinc.com/american-standard/_/A-05524946
" Lahara 2-Handle Centerset Bathroom Faucet, Stainless ",DELTA,4.152 LB,https://www.winsupplyinc.com/delta/_/A-05165350
" Monterrey 4 in. Two-Handle High-Arc Bathroom Faucet, Chrome ",AMERICAN STANDARD,3.58 LB,https://www.winsupplyinc.com/american-standard/_/A-01010094
" Chateau 1-Handle Low-Arc Lavatory Faucet, Chrome ",MOEN,3.35 LB,https://www.winsupplyinc.com/moen/_/A-01144577
" Woodhurst 2-Handle High Arc Centerset Bathroom Faucet, Chrome ",DELTA,4.1 lb.,https://www.winsupplyinc.com/delta/_/A-06969864
" Classic 1-Handle Lavatory Faucet, Chrome ",DELTA,2.23 LB,https://www.winsupplyinc.com/delta/_/A-04127983
